asof_date,hop_date,horizon_date,tenor_years,spot_today,vol_today,portfolio_label,portfolio_structure,position_side,position_units,strike_call_today,strike_put_today,call_moneyness_today,put_moneyness_today,std_distance_call_today,std_distance_put_today,mu,sigma,spot_hop,vol_hop,spot_realized,rd,rf,strike_call_a,strike_put_a,strike_call_b,strike_put_b,strike_call_diff_abs,strike_put_diff_abs,realized_a,realized_b,pit_a,pit_b,pit_diff
2024-12-31,2023-01-03,2023-01-17,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.0570752876049462,0.10732267977431605,0.8352463927011136,0.11295833798128078,0.8335419170188341,0.04,0.02,0.918771031971225,0.7517217534310022,0.9454085173083172,0.728343165013036,0.026637485337092204,-0.02337858841796625,4.518258643627187e-10,3.361532616086326e-14,0.138,0.217,0.07899999999999999
2024-12-31,2023-01-17,2023-01-31,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.06929067398980682,0.10832277198781548,0.8335419170188341,0.11422661329455538,0.826887834011912,0.04,0.02,0.9168961087207176,0.7501877253169507,0.9447925452042286,0.7257400169920575,0.027896436483511033,-0.02444770832489318,4.667186306160156e-10,9.655323432504764e-15,0.106,0.032,-0.074
2024-12-31,2023-01-31,2023-02-14,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.05291885247806367,0.10739061062013983,0.826887834011912,0.10689089858636529,0.8267054036763356,0.04,0.02,0.9095766174131032,0.7441990506107208,0.929739815885539,0.7263783166061014,0.02016319847243575,-0.017820734004619365,1.3606466383862978e-10,6.081496973202299e-14,0.232,0.292,0.05999999999999997
2024-12-31,2023-02-14,2023-02-28,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.06418304072004984,0.10715085502226933,0.8267054036763356,0.1065427443288063,0.8483185920661973,0.04,0.02,0.9093759440439693,0.744034863308702,0.9291798204979085,0.7265246723364942,0.019803876453939218,-0.01751019097220785,1.860397133260498e-07,5.010908212608946e-10,0.913,0.916,0.0030000000000000027
2024-12-31,2023-02-28,2023-03-14,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.04797727546484169,0.10827358072735407,0.8483185920661973,0.10608220446493283,0.8557186159412196,0.04,0.02,0.9331504512728171,0.7634867328595776,0.9529905883141677,0.7459351540580293,0.01984013704135057,-0.01755157880154823,1.6981760753569398e-09,1.7269225178063803e-12,0.576,0.604,0.028000000000000025
2024-12-31,2023-03-14,2023-03-28,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.047439462267453034,0.1082622479018519,0.8557186159412196,0.1040021587425367,0.8423019581221248,0.04,0.02,0.9412904775353416,0.7701467543470977,0.9591131118898107,0.754342061155812,0.01782263435446918,-0.015804693191285635,2.524171119615457e-10,1.6583105766905956e-13,0.443,0.393,-0.04999999999999999
2024-12-31,2023-03-28,2023-04-11,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.03919689372811047,0.10792333998323843,0.8423019581221248,0.09631763936600532,0.8552580912156768,0.04,0.02,0.9265321539343374,0.7580717623099124,0.9361519112523332,0.749465182069527,0.009619757317995803,-0.008606580240385409,9.876769881619557e-10,2.6696861659144425e-11,0.73,0.739,0.009000000000000008
2024-12-31,2023-04-11,2023-04-25,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.032509513891868576,0.10730622978911533,0.8552580912156768,0.0878956831922641,0.8522349905481452,0.04,0.02,0.9407839003372445,0.769732282094109,0.9418117831066202,0.7688036733548286,0.0010278827693757098,-0.0009286087392804676,2.0523123042496653e-14,1.2060125704386925e-14,0.101,0.104,0.002999999999999989
2024-12-31,2023-04-25,2023-05-09,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.03430708670920326,0.10729235442699639,0.8522349905481452,0.10304126278875472,0.8504619614762711,0.04,0.02,0.9374584896029599,0.7670114914933307,0.9542024129011315,0.7521468967113696,0.016743923298171648,-0.014864594781961116,2.361376676927554e-11,2.9132967608638627e-14,0.142,0.174,0.032
2024-12-31,2023-05-09,2023-05-23,0.027777777777777776,0.6634084742173156,0.08690005467578125,long_fx_strangle,strangle,long,1.0,0.7297493216390473,0.5970676267955841,1.1,0.9,6.580675707967366,-7.274599496001691,-0.030169904270348945,0.10681156790104737,0.8504619614762711,0.11144386060736539,0.8479956709286397,0.04,0.02,0.9355081576238983,0.765415765328644,0.9610332460689291,0.742974292041351,0.025525088445030875,-0.022441473287292957,2.52106186679901e-10,2.46680478104075e-14,0.125,0.18,0.05499999999999999
